Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
191,2,2,62,190,31,31,31.0,0.0,95,95,95.0,0.0,1319371.728,20942.40838,63.66666667,69.17610377,139,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,10471.20419,10471.20419,31,95,56.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,70.75,31.0,95.0,64,0,0,0,0,0,0,2,62,2,190,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
196,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,836734.6939,20408.16327,65.33333333,30.89228598,101,47,47,47.0,0.0,47,47,48,48.0,0.0,48,48,0,0,0,0,40,40,10204.08163,10204.08163,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
6110,3,6,26,11601,20,0,8.666666667000001,10.26320288,5840,0,1933.5,2189.772933,1902945.99,1472.99509,763.75,1861.891953,5370,46,5593,2796.5,3761.100969,5456,137,6024,1204.8,2451.09194,5588,46,0,0,0,0,72,132,490.9983633000001,981.9967267,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667000001,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
4997053,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.8028307880000005,0.800471798,1665684.333,2884366.604,4996264,247,4997053,1665684.333,2884366.604,4996264,247,0,0.0,0.0,0,0,0,0,0,0,80,0,0.800471798,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
2073910,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.46543003,2.410905006,518477.5,1035768.398,2072130,244,2073910,518477.5,1035768.398,2072130,244,0,0.0,0.0,0,0,0,0,0,0,100,0,2.410905006,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
6593942,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.639704444,0.606617407,2197980.667,3806340.421,6593164,348,6593942,2197980.667,3806340.421,6593164,348,0,0.0,0.0,0,0,0,0,0,0,80,0,0.606617407,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,778.0,0.0,778,778,6593164.0,0.0,6593164,6593164,DoS
30836,3,6,26,11607,20,0,8.666666667000001,10.26320288,5755,0,1934.5,2529.124572,377253.8591,291.8666494,3854.5,10550.11049,29959,7,720,360.0,438.40620430000007,670,50,30829,6165.8,13304.52798,29959,9,0,0,0,0,72,132,97.28888312,194.5777662,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667000001,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
24532,3,4,26,11601,20,0,8.666666667000001,10.26320288,7300,0,2900.25,3563.297197,473952.3887,285.3415947,4088.666667,9639.659614,23765,18,24003,12001.5,16661.557090000002,23783,220,24514,8171.333333,13824.07499,24134,188,0,0,0,0,72,92,122.28925490000002,163.0523398,0,7300,1453.375,2798.956588,7834157.982000003,0,0,0,1,0,0,0,0,1,1661.0,8.666666667000001,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
73212757,8,6,56,11601,20,0,7.0,5.6568542489999984,4380,0,1933.5,1757.789948,159.2208855,0.191223505,5631750.538,17100000.0,61700000,2,72400000,10300000.0,23000000.0,61700000,2,797649,159529.8,340006.7678,767308,9,0,0,0,0,172,132,0.109270574,0.0819529309999999,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,1475.0,0.0,1475,1475,36200000.0,36100000.0,61700000,10700000,DoS
5314834,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.515663142,0.7526105240000001,1771611.333,3063312.363,5308819,989,5314834,1771611.333,3063312.363,5308819,989,0,0.0,0.0,0,0,0,0,0,0,80,0,0.7526105240000001,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,6015.0,0.0,6015,6015,5308819.0,0.0,5308819,5308819,DoS
