iter	Passed	Remaining
0	80	80020
1	132	65900
2	190	63238
3	250	62457
4	311	61898
5	375	62166
6	442	62719
7	507	62884
8	579	63804
9	642	63627
10	709	63752
11	774	63735
12	843	64016
13	902	63594
14	968	63575
15	1035	63664
16	1106	64002
17	1175	64108
18	1239	63988
19	1297	63594
20	1369	63827
21	1430	63597
22	1497	63590
23	1557	63341
24	1623	63320
25	1691	63384
26	1761	63473
27	1820	63200
28	1881	62992
29	1940	62749
30	1998	62464
31	2062	62379
32	2130	62444
33	2187	62152
34	2243	61856
35	2304	61706
36	2367	61631
37	2431	61543
38	2494	61465
39	2554	61296
40	2609	61043
41	2671	60945
42	2733	60842
43	2786	60542
44	2846	60404
45	2904	60237
46	2959	60007
47	3014	59784
48	3063	59458
49	3119	59276
50	3177	59126
51	3234	58975
52	3288	58763
53	3342	58558
54	3395	58346
55	3447	58119
56	3506	58010
57	3562	57860
58	3619	57723
59	3674	57559
60	3728	57387
61	3780	57195
62	3834	57036
63	3889	56884
64	3938	56660
65	3996	56552
66	4051	56424
67	4111	56356
68	4162	56167
69	4217	56039
70	4268	55847
71	4317	55649
72	4366	55443
73	4417	55283
74	4471	55143
75	4525	55022
76	4575	54847
77	4627	54693
78	4686	54637
79	4741	54523
80	4798	54447
81	4860	54419
82	4916	54314
83	4970	54201
84	5021	54058
85	5076	53954
86	5128	53822
87	5180	53693
88	5235	53585
89	5285	53439
90	5333	53278
91	5387	53169
92	5441	53065
93	5497	52990
94	5548	52857
95	5598	52719
96	5652	52617
97	5708	52539
98	5761	52436
99	5820	52381
100	5875	52301
101	5932	52230
102	5984	52121
103	6039	52033
104	6087	51887
105	6136	51756
106	6192	51683
107	6246	51591
108	6297	51476
109	6350	51383
110	6407	51321
111	6461	51228
112	6517	51155
113	6570	51066
114	6625	50989
115	6683	50929
116	6737	50846
117	6791	50763
118	6845	50680
119	6897	50585
120	6949	50481
121	7004	50407
122	7052	50284
123	7105	50196
124	7154	50079
125	7210	50013
126	7257	49891
127	7311	49809
128	7369	49759
129	7423	49682
130	7482	49635
131	7536	49555
132	7588	49466
133	7639	49373
134	7693	49293
135	7745	49204
136	7795	49104
137	7846	49010
138	7902	48948
139	7961	48908
140	8016	48840
141	8069	48757
142	8125	48693
143	8173	48586
144	8228	48521
145	8281	48439
146	8339	48390
147	8391	48306
148	8447	48249
149	8502	48180
150	8564	48154
151	8617	48074
152	8674	48022
153	8724	47926
154	8779	47861
155	8827	47760
156	8885	47712
157	8938	47631
158	8992	47562
159	9045	47488
160	9097	47406
161	9149	47330
162	9204	47263
163	9260	47204
164	9312	47126
165	9367	47064
166	9421	46992
167	9469	46896
168	9523	46828
169	9571	46730
170	9627	46672
171	9686	46629
172	9742	46572
173	9797	46509
174	9855	46462
175	9904	46369
176	9957	46299
177	10005	46205
178	10055	46121
179	10106	46041
180	10156	45957
181	10207	45879
182	10261	45813
183	10310	45725
184	10366	45669
185	10417	45591
186	10465	45498
187	10518	45432
188	10571	45360
189	10625	45297
190	10678	45230
191	10732	45163
192	10787	45106
193	10844	45056
194	10900	44998
195	10960	44958
196	11018	44911
197	11075	44862
198	11136	44825
199	11191	44767
200	11247	44710
201	11306	44665
202	11359	44599
203	11413	44533
204	11463	44456
205	11515	44386
206	11566	44310
207	11621	44249
208	11672	44177
209	11727	44118
210	11782	44057
211	11831	43977
212	11883	43907
213	11933	43829
214	11983	43754
215	12036	43688
216	12090	43625
217	12144	43564
218	12194	43487
219	12246	43420
220	12302	43364
221	12357	43306
222	12413	43252
223	12468	43195
224	12521	43128
225	12579	43082
226	12637	43032
227	12694	42984
228	12746	42915
229	12796	42841
230	12850	42778
231	12900	42705
232	12952	42638
233	13005	42574
234	13065	42531
235	13120	42473
236	13167	42391
237	13220	42328
238	13275	42271
239	13330	42213
240	13383	42150
241	13438	42091
242	13489	42023
243	13540	41953
244	13593	41890
245	13654	41851
246	13716	41815
247	13776	41773
248	13833	41723
249	13886	41660
250	13935	41584
251	13986	41515
252	14043	41464
253	14102	41418
254	14152	41348
255	14210	41298
256	14263	41237
257	14319	41181
258	14372	41121
259	14430	41071
260	14488	41022
261	14548	40979
262	14605	40927
263	14666	40887
264	14718	40822
265	14768	40753
266	14831	40718
267	14882	40648
268	14942	40605
269	14996	40547
270	15054	40496
271	15104	40426
272	15152	40350
273	15207	40295
274	15266	40246
275	15323	40196
276	15382	40148
277	15433	40082
278	15494	40042
279	15554	39997
280	15614	39953
281	15670	39899
282	15725	39841
283	15776	39773
284	15828	39710
285	15885	39658
286	15950	39626
287	16010	39582
288	16062	39516
289	16117	39460
290	16171	39399
291	16228	39349
292	16300	39331
293	16367	39304
294	16431	39269
295	16498	39239
296	16566	39212
297	16640	39199
298	16706	39168
299	16775	39143
300	16833	39090
301	16893	39045
